audio,text,text_cleaned
F0000000000_0068.wav,เล่น เพลง ของ ศิลปิน โจอี้บอย,เล่น เพลง ของ ศิลปิน Joey Boy
F0000000000_0069.wav,เล่น เพลง จาก อัลบั้ม เดอะเรด,เล่น เพลง จาก album The Red
F0000000000_0070.wav,เล่น เพลง จาก อัลบั้ม เดอะเววเวท,เล่น เพลง จาก album The Velvet
F0000000000_0071.wav,โกวาจี แรนด้อม เพลง,โกวาจี random เพลง
F0000000000_0072.wav,โกวาจี เล่น ห้า เพลง,โกวาจี เล่น ห้า เพลง
F0000000000_0073.wav,โกวาจี เล่น สิบ เพลง,โกวาจี เล่น สิบ เพลง
F0000000000_0077.wav,โกวาจี ลา ก่อน,โกวาจี ลา ก่อน
F0000000000_0079.wav,ชัฟเฟิล,shuffle
F0000000000_0081.wav,กู๊ดไนท์,Good night
F0000000000_0082.wav,ลบ เพลง นี้ ออก จาก เพลย์ลิส,ลบ เพลง นี้ ออก จาก playlist
F0000000000_0083.wav,เอา ออก จาก เพลย์ลิส,เอา ออก จาก playlist
F0000000000_0087.wav,ห้าม เล่น เพลง ของ เทเลอร์สวิฟ,ห้าม เล่น เพลง ของ Taylor Swift
F0000000000_0093.wav,โกวาจี เรา จบ กัน แค่ นี้,โกวาจี เรา จบ กัน แค่ นี้
F0000000000_0099.wav,โกวาจี ขอบคุณ,โกวาจี ขอบคุณ
F0000000001_0000.wav,โกวาจี,โกวาจี
F0000000001_0001.wav,โกวาจี เล่น เพลง เชบออฟยู,โกวาจี เล่น เพลง Shape of You
F0000000001_0002.wav,โกวาจี เล่น เพลง ชูก้า,โกวาจี เล่น เพลง Sugar
F0000000001_0003.wav,โกวาจี เล่น เพลง สเตย์,โกวาจี เล่น เพลง Stay
F0000000001_0004.wav,โกวาจี เล่น เพลง คู่ ชีวิต,โกวาจี เล่น เพลง คู่ ชีวิต
F0000000001_0005.wav,โกวาจี เล่น เพลง อ้าว,โกวาจี เล่น เพลง อ้าว
F0000000001_0011.wav,เพลง ต่อ ไป อยู่ ใน อัลบั้ม อะไร,เพลง ต่อ ไป อยู่ ใน album อะไร
F0000000001_0018.wav,แรนดอม เพลง,random เพลง
F0000000001_0020.wav,โกวาจี เพิ่ม เสียง,โกวาจี เพิ่ม เสียง
F0000000001_0030.wav,เพิ่ม ใน เพลลิสต์ เพลง โปรด,เพิ่ม ใน playlist เพลง โปรด
F0000000001_0031.wav,เพิ่ม ใน เพลลิสต์ เพลง ก่อนนอน,เพิ่ม ใน playlist เพลง ก่อนนอน
F0000000001_0032.wav,เล่น เพลง จาก เพลลิสต์ เพลง ก่อน นอน,เล่น เพลง จาก playlist เพลง ก่อน นอน
F0000000001_0044.wav,พอส,pause
F0000000001_0045.wav,สต็อป,stop
F0000000001_0046.wav,ปิด โปรแกรม,ปิด program
F0000000001_0047.wav,โกวาจี บ๊ายบาย,โกวาจี bye bye
F0000000001_0048.wav,ชัท ดาว,Shut down
F0000000001_0051.wav,เปิด เพลง ไอแฮทยูไอเลิฟยู,เปิด เพลง I Hate U I Love U
F0000000001_0053.wav,เปิด เพลง เซเยส,เปิด เพลง say yes
F0000000001_0055.wav,เปิด เพลง เอฟเวอรี่ไทม,เปิด เพลง everytime
F0000000001_0056.wav,ขอ เพลง แคนท์เทคมายอายส์ออฟออฟยู,ขอ เพลง Can't Take My Eyes Off Of You
F0000000001_0060.wav,ขอ เพลง สเตย์วิฟมี,ขอ เพลง stay with me
F0000000001_0061.wav,เล่น เพลง จาก เพลลิสต์ เพลง โปรด,เล่น เพลง จาก playlist เพลง โปรด
F0000000001_0062.wav,เล่น เพลง จาก เพลลิสต์ เพลง อก หัก,เล่น เพลง จาก playlist เพลง อก หัก
F0000000001_0063.wav,เล่น เพลง จาก เพลลิสต์ เพลง ลูก ทุ่ง,เล่น เพลง จาก playlist เพลง ลูก ทุ่ง
F0000000001_0064.wav,เล่น เพลง ของ มารูนไฟฟ์,เล่น เพลง ของ Maroon 5
F0000000001_0065.wav,เล่น เพลง ของ ซูเปอร์จูเนียร์,เล่น เพลง ของ Super Junior
F0000000001_0066.wav,เล่น เพลง ของ ศิลปิน ริฮันน่า,เล่น เพลง ของ ศิลปิน Rihanna
F0000000001_0068.wav,เล่น เพลง ของ ศิลปิน โจอี้บอย,เล่น เพลง ของ ศิลปิน Joey Boy
F0000000001_0069.wav,เล่น เพลง จาก อัลบั้ม เดอะเรด,เล่น เพลง จาก album The Red
F0000000001_0070.wav,เล่น เพลง จาก อัลบั้ม เดอะเววเวท,เล่น เพลง จาก album The Velvet
F0000000001_0071.wav,โกวาจี แรนด้อม เพลง,โกวาจี random เพลง
F0000000001_0072.wav,โกวาจี เล่น ห้า เพลง,โกวาจี เล่น ห้า เพลง
F0000000001_0073.wav,โกวาจี เล่น สิบ เพลง,โกวาจี เล่น สิบ เพลง
F0000000001_0077.wav,โกวาจี ลา ก่อน,โกวาจี ลา ก่อน
F0000000001_0079.wav,ชัฟเฟิล,shuffle
F0000000001_0081.wav,กู๊ดไนท์,Good night
F0000000001_0082.wav,ลบ เพลง นี้ ออก จาก เพลย์ลิส,ลบ เพลง นี้ ออก จาก playlist
F0000000001_0083.wav,เอา ออก จาก เพลย์ลิส,เอา ออก จาก playlist
F0000000001_0087.wav,ห้าม เล่น เพลง ของ เทเลอร์สวิฟ,ห้าม เล่น เพลง ของ Taylor Swift
F0000000001_0093.wav,โกวาจี เรา จบ กัน แค่ นี้,โกวาจี เรา จบ กัน แค่ นี้
F0000000001_0099.wav,โกวาจี ขอบคุณ,โกวาจี ขอบคุณ
M0000000002_0000.wav,โกวาจี,โกวาจี
M0000000002_0001.wav,โกวาจี เล่น เพลง เชบออฟยู,โกวาจี เล่น เพลง Shape of You
M0000000002_0002.wav,โกวาจี เล่น เพลง ชูก้า,โกวาจี เล่น เพลง Sugar
M0000000002_0003.wav,โกวาจี เล่น เพลง สเตย์,โกวาจี เล่น เพลง Stay
M0000000002_0004.wav,โกวาจี เล่น เพลง คู่ ชีวิต,โกวาจี เล่น เพลง คู่ ชีวิต
M0000000002_0005.wav,โกวาจี เล่น เพลง อ้าว,โกวาจี เล่น เพลง อ้าว
M0000000002_0011.wav,เพลง ต่อ ไป อยู่ ใน อัลบั้ม อะไร,เพลง ต่อ ไป อยู่ ใน album อะไร
M0000000002_0018.wav,แรนดอม เพลง,random เพลง
M0000000002_0020.wav,โกวาจี เพิ่ม เสียง,โกวาจี เพิ่ม เสียง
M0000000002_0030.wav,เพิ่ม ใน เพลลิสต์ เพลง โปรด,เพิ่ม ใน playlist เพลง โปรด
M0000000002_0031.wav,เพิ่ม ใน เพลลิสต์ เพลง ก่อนนอน,เพิ่ม ใน playlist เพลง ก่อนนอน
M0000000002_0032.wav,เล่น เพลง จาก เพลลิสต์ เพลง ก่อน นอน,เล่น เพลง จาก playlist เพลง ก่อน นอน
M0000000002_0044.wav,พอส,pause
M0000000002_0045.wav,สต็อป,stop
M0000000002_0046.wav,ปิด โปรแกรม,ปิด program
M0000000002_0047.wav,โกวาจี บ๊ายบาย,โกวาจี bye bye
M0000000002_0048.wav,ชัท ดาว,Shut down
M0000000002_0051.wav,เปิด เพลง ไอแฮทยูไอเลิฟยู,เปิด เพลง I Hate U I Love U
M0000000002_0053.wav,เปิด เพลง เซเยส,เปิด เพลง say yes
M0000000002_0055.wav,เปิด เพลง เอฟเวอรี่ไทม,เปิด เพลง everytime
M0000000002_0056.wav,ขอ เพลง แคนท์เทคมายอายส์ออฟออฟยู,ขอ เพลง Can't Take My Eyes Off Of You
M0000000002_0060.wav,ขอ เพลง สเตย์วิฟมี,ขอ เพลง stay with me
M0000000002_0061.wav,เล่น เพลง จาก เพลลิสต์ เพลง โปรด,เล่น เพลง จาก playlist เพลง โปรด
M0000000002_0062.wav,เล่น เพลง จาก เพลลิสต์ เพลง อก หัก,เล่น เพลง จาก playlist เพลง อก หัก
M0000000002_0063.wav,เล่น เพลง จาก เพลลิสต์ เพลง ลูก ทุ่ง,เล่น เพลง จาก playlist เพลง ลูก ทุ่ง
M0000000002_0064.wav,เล่น เพลง ของ มารูนไฟฟ์,เล่น เพลง ของ Maroon 5
M0000000002_0065.wav,เล่น เพลง ของ ซูเปอร์จูเนียร์,เล่น เพลง ของ Super Junior
M0000000002_0066.wav,เล่น เพลง ของ ศิลปิน ริฮันน่า,เล่น เพลง ของ ศิลปิน Rihanna
M0000000002_0068.wav,เล่น เพลง ของ ศิลปิน โจอี้บอย,เล่น เพลง ของ ศิลปิน Joey Boy
M0000000002_0069.wav,เล่น เพลง จาก อัลบั้ม เดอะเรด,เล่น เพลง จาก album The Red
M0000000002_0070.wav,เล่น เพลง จาก อัลบั้ม เดอะเววเวท,เล่น เพลง จาก album The Velvet
M0000000002_0071.wav,โกวาจี แรนด้อม เพลง,โกวาจี random เพลง
M0000000002_0072.wav,โกวาจี เล่น ห้า เพลง,โกวาจี เล่น ห้า เพลง
M0000000002_0073.wav,โกวาจี เล่น สิบ เพลง,โกวาจี เล่น สิบ เพลง
M0000000002_0077.wav,โกวาจี ลา ก่อน,โกวาจี ลา ก่อน
M0000000002_0079.wav,ชัฟเฟิล,shuffle
M0000000002_0081.wav,กู๊ดไนท์,Good night
M0000000002_0082.wav,ลบ เพลง นี้ ออก จาก เพลย์ลิส,ลบ เพลง นี้ ออก จาก playlist
M0000000002_0083.wav,เอา ออก จาก เพลย์ลิส,เอา ออก จาก playlist
M0000000002_0087.wav,ห้าม เล่น เพลง ของ เทเลอร์สวิฟ,ห้าม เล่น เพลง ของ Taylor Swift
M0000000002_0093.wav,โกวาจี เรา จบ กัน แค่ นี้,โกวาจี เรา จบ กัน แค่ นี้
M0000000002_0099.wav,โกวาจี ขอบคุณ,โกวาจี ขอบคุณ
M0000000003_0000.wav,โกวาจี,โกวาจี
M0000000003_0001.wav,โกวาจี เล่น เพลง เชบออฟยู,โกวาจี เล่น เพลง Shape of You
M0000000003_0002.wav,โกวาจี เล่น เพลง ชูก้า,โกวาจี เล่น เพลง Sugar
M0000000003_0003.wav,โกวาจี เล่น เพลง สเตย์,โกวาจี เล่น เพลง Stay
M0000000003_0004.wav,โกวาจี เล่น เพลง คู่ ชีวิต,โกวาจี เล่น เพลง คู่ ชีวิต
M0000000003_0005.wav,โกวาจี เล่น เพลง อ้าว,โกวาจี เล่น เพลง อ้าว
M0000000003_0011.wav,เพลง ต่อ ไป อยู่ ใน อัลบั้ม อะไร,เพลง ต่อ ไป อยู่ ใน album อะไร
M0000000003_0018.wav,แรนดอม เพลง,random เพลง
M0000000003_0020.wav,โกวาจี เพิ่ม เสียง,โกวาจี เพิ่ม เสียง
M0000000003_0030.wav,เพิ่ม ใน เพลลิสต์ เพลง โปรด,เพิ่ม ใน playlist เพลง โปรด
M0000000003_0031.wav,เพิ่ม ใน เพลลิสต์ เพลง ก่อนนอน,เพิ่ม ใน playlist เพลง ก่อนนอน
M0000000003_0032.wav,เล่น เพลง จาก เพลลิสต์ เพลง ก่อน นอน,เล่น เพลง จาก playlist เพลง ก่อน นอน
M0000000003_0044.wav,พอส,pause
M0000000003_0045.wav,สต็อป,stop
M0000000003_0046.wav,ปิด โปรแกรม,ปิด program
M0000000003_0047.wav,โกวาจี บ๊ายบาย,โกวาจี bye bye
M0000000003_0048.wav,ชัท ดาว,Shut down
M0000000003_0051.wav,เปิด เพลง ไอแฮทยูไอเลิฟยู,เปิด เพลง I Hate U I Love U
M0000000003_0053.wav,เปิด เพลง เซเยส,เปิด เพลง say yes
M0000000003_0055.wav,เปิด เพลง เอฟเวอรี่ไทม,เปิด เพลง everytime
M0000000003_0056.wav,ขอ เพลง แคนท์เทคมายอายส์ออฟออฟยู,ขอ เพลง Can't Take My Eyes Off Of You
M0000000003_0060.wav,ขอ เพลง สเตย์วิฟมี,ขอ เพลง stay with me
M0000000003_0061.wav,เล่น เพลง จาก เพลลิสต์ เพลง โปรด,เล่น เพลง จาก playlist เพลง โปรด
M0000000003_0062.wav,เล่น เพลง จาก เพลลิสต์ เพลง อก หัก,เล่น เพลง จาก playlist เพลง อก หัก
M0000000003_0063.wav,เล่น เพลง จาก เพลลิสต์ เพลง ลูก ทุ่ง,เล่น เพลง จาก playlist เพลง ลูก ทุ่ง
M0000000003_0064.wav,เล่น เพลง ของ มารูนไฟฟ์,เล่น เพลง ของ Maroon 5
M0000000003_0065.wav,เล่น เพลง ของ ซูเปอร์จูเนียร์,เล่น เพลง ของ Super Junior
M0000000003_0066.wav,เล่น เพลง ของ ศิลปิน ริฮันน่า,เล่น เพลง ของ ศิลปิน Rihanna
M0000000003_0068.wav,เล่น เพลง ของ ศิลปิน โจอี้บอย,เล่น เพลง ของ ศิลปิน Joey Boy
M0000000003_0069.wav,เล่น เพลง จาก อัลบั้ม เดอะเรด,เล่น เพลง จาก album The Red
M0000000003_0070.wav,เล่น เพลง จาก อัลบั้ม เดอะเววเวท,เล่น เพลง จาก album The Velvet
M0000000003_0071.wav,โกวาจี แรนด้อม เพลง,โกวาจี random เพลง
M0000000003_0072.wav,โกวาจี เล่น ห้า เพลง,โกวาจี เล่น ห้า เพลง
M0000000003_0073.wav,โกวาจี เล่น สิบ เพลง,โกวาจี เล่น สิบ เพลง
M0000000003_0077.wav,โกวาจี ลา ก่อน,โกวาจี ลา ก่อน
M0000000003_0079.wav,ชัฟเฟิล,shuffle
M0000000003_0081.wav,กู๊ดไนท์,Good night
M0000000003_0082.wav,ลบ เพลง นี้ ออก จาก เพลย์ลิส,ลบ เพลง นี้ ออก จาก playlist
M0000000003_0083.wav,เอา ออก จาก เพลย์ลิส,เอา ออก จาก playlist
M0000000003_0087.wav,ห้าม เล่น เพลง ของ เทเลอร์สวิฟ,ห้าม เล่น เพลง ของ Taylor Swift
M0000000003_0093.wav,โกวาจี เรา จบ กัน แค่ นี้,โกวาจี เรา จบ กัน แค่ นี้
M0000000003_0099.wav,โกวาจี ขอบคุณ,โกวาจี ขอบคุณ
M0000000004_0000.wav,โกวาจี,โกวาจี
M0000000004_0001.wav,โกวาจี เล่น เพลง เชบออฟยู,โกวาจี เล่น เพลง Shape of You
M0000000004_0002.wav,โกวาจี เล่น เพลง ชูก้า,โกวาจี เล่น เพลง Sugar
M0000000004_0003.wav,โกวาจี เล่น เพลง สเตย์,โกวาจี เล่น เพลง Stay
M0000000004_0004.wav,โกวาจี เล่น เพลง คู่ ชีวิต,โกวาจี เล่น เพลง คู่ ชีวิต
M0000000004_0005.wav,โกวาจี เล่น เพลง อ้าว,โกวาจี เล่น เพลง อ้าว
M0000000004_0011.wav,เพลง ต่อ ไป อยู่ ใน อัลบั้ม อะไร,เพลง ต่อ ไป อยู่ ใน album อะไร
M0000000004_0018.wav,แรนดอม เพลง,random เพลง
M0000000004_0020.wav,โกวาจี เพิ่ม เสียง,โกวาจี เพิ่ม เสียง
M0000000004_0030.wav,เพิ่ม ใน เพลลิสต์ เพลง โปรด,เพิ่ม ใน playlist เพลง โปรด
M0000000004_0031.wav,เพิ่ม ใน เพลลิสต์ เพลง ก่อนนอน,เพิ่ม ใน playlist เพลง ก่อนนอน
M0000000004_0032.wav,เล่น เพลง จาก เพลลิสต์ เพลง ก่อน นอน,เล่น เพลง จาก playlist เพลง ก่อน นอน
M0000000004_0044.wav,พอส,pause
M0000000004_0045.wav,สต็อป,stop
M0000000004_0046.wav,ปิด โปรแกรม,ปิด program
M0000000004_0047.wav,โกวาจี บ๊ายบาย,โกวาจี bye bye
M0000000004_0048.wav,ชัท ดาว,Shut down
M0000000004_0051.wav,เปิด เพลง ไอแฮทยูไอเลิฟยู,เปิด เพลง I Hate U I Love U
M0000000004_0053.wav,เปิด เพลง เซเยส,เปิด เพลง say yes
M0000000004_0055.wav,เปิด เพลง เอฟเวอรี่ไทม,เปิด เพลง everytime
M0000000004_0056.wav,ขอ เพลง แคนท์เทคมายอายส์ออฟออฟยู,ขอ เพลง Can't Take My Eyes Off Of You
M0000000004_0060.wav,ขอ เพลง สเตย์วิฟมี,ขอ เพลง stay with me
M0000000004_0061.wav,เล่น เพลง จาก เพลลิสต์ เพลง โปรด,เล่น เพลง จาก playlist เพลง โปรด
M0000000004_0062.wav,เล่น เพลง จาก เพลลิสต์ เพลง อก หัก,เล่น เพลง จาก playlist เพลง อก หัก
M0000000004_0063.wav,เล่น เพลง จาก เพลลิสต์ เพลง ลูก ทุ่ง,เล่น เพลง จาก playlist เพลง ลูก ทุ่ง
M0000000004_0064.wav,เล่น เพลง ของ มารูนไฟฟ์,เล่น เพลง ของ Maroon 5
M0000000004_0065.wav,เล่น เพลง ของ ซูเปอร์จูเนียร์,เล่น เพลง ของ Super Junior
M0000000004_0066.wav,เล่น เพลง ของ ศิลปิน ริฮันน่า,เล่น เพลง ของ ศิลปิน Rihanna
M0000000004_0068.wav,เล่น เพลง ของ ศิลปิน โจอี้บอย,เล่น เพลง ของ ศิลปิน Joey Boy
M0000000004_0069.wav,เล่น เพลง จาก อัลบั้ม เดอะเรด,เล่น เพลง จาก album The Red
M0000000004_0070.wav,เล่น เพลง จาก อัลบั้ม เดอะเววเวท,เล่น เพลง จาก album The Velvet
M0000000004_0071.wav,โกวาจี แรนด้อม เพลง,โกวาจี random เพลง
M0000000004_0072.wav,โกวาจี เล่น ห้า เพลง,โกวาจี เล่น ห้า เพลง
M0000000004_0073.wav,โกวาจี เล่น สิบ เพลง,โกวาจี เล่น สิบ เพลง
M0000000004_0077.wav,โกวาจี ลา ก่อน,โกวาจี ลา ก่อน
M0000000004_0079.wav,ชัฟเฟิล,shuffle
M0000000004_0081.wav,กู๊ดไนท์,Good night
M0000000004_0082.wav,ลบ เพลง นี้ ออก จาก เพลย์ลิส,ลบ เพลง นี้ ออก จาก playlist
M0000000004_0083.wav,เอา ออก จาก เพลย์ลิส,เอา ออก จาก playlist
M0000000004_0087.wav,ห้าม เล่น เพลง ของ เทเลอร์สวิฟ,ห้าม เล่น เพลง ของ Taylor Swift
M0000000004_0093.wav,โกวาจี เรา จบ กัน แค่ นี้,โกวาจี เรา จบ กัน แค่ นี้
M0000000004_0099.wav,โกวาจี ขอบคุณ,โกวาจี ขอบคุณ
M0000000005_0000.wav,โกวาจี,โกวาจี
M0000000005_0001.wav,โกวาจี เล่น เพลง เชบออฟยู,โกวาจี เล่น เพลง Shape of You
M0000000005_0002.wav,โกวาจี เล่น เพลง ชูก้า,โกวาจี เล่น เพลง Sugar
M0000000005_0003.wav,โกวาจี เล่น เพลง สเตย์,โกวาจี เล่น เพลง Stay
M0000000005_0004.wav,โกวาจี เล่น เพลง คู่ ชีวิต,โกวาจี เล่น เพลง คู่ ชีวิต
M0000000005_0005.wav,โกวาจี เล่น เพลง อ้าว,โกวาจี เล่น เพลง อ้าว
M0000000005_0011.wav,เพลง ต่อ ไป อยู่ ใน อัลบั้ม อะไร,เพลง ต่อ ไป อยู่ ใน album อะไร
M0000000005_0018.wav,แรนดอม เพลง,random เพลง
M0000000005_0020.wav,โกวาจี เพิ่ม เสียง,โกวาจี เพิ่ม เสียง
M0000000005_0030.wav,เพิ่ม ใน เพลลิสต์ เพลง โปรด,เพิ่ม ใน playlist เพลง โปรด
M0000000005_0031.wav,เพิ่ม ใน เพลลิสต์ เพลง ก่อนนอน,เพิ่ม ใน playlist เพลง ก่อนนอน
M0000000005_0032.wav,เล่น เพลง จาก เพลลิสต์ เพลง ก่อน นอน,เล่น เพลง จาก playlist เพลง ก่อน นอน
M0000000005_0044.wav,พอส,pause
M0000000005_0045.wav,สต็อป,stop
M0000000005_0046.wav,ปิด โปรแกรม,ปิด program
M0000000005_0047.wav,โกวาจี บ๊ายบาย,โกวาจี bye bye
M0000000005_0048.wav,ชัท ดาว,Shut down
M0000000005_0051.wav,เปิด เพลง ไอแฮทยูไอเลิฟยู,เปิด เพลง I Hate U I Love U
M0000000005_0053.wav,เปิด เพลง เซเยส,เปิด เพลง say yes
M0000000005_0055.wav,เปิด เพลง เอฟเวอรี่ไทม,เปิด เพลง everytime
M0000000005_0056.wav,ขอ เพลง แคนท์เทคมายอายส์ออฟออฟยู,ขอ เพลง Can't Take My Eyes Off Of You
M0000000005_0060.wav,ขอ เพลง สเตย์วิฟมี,ขอ เพลง stay with me
M0000000005_0061.wav,เล่น เพลง จาก เพลลิสต์ เพลง โปรด,เล่น เพลง จาก playlist เพลง โปรด
M0000000005_0062.wav,เล่น เพลง จาก เพลลิสต์ เพลง อก หัก,เล่น เพลง จาก playlist เพลง อก หัก
M0000000005_0063.wav,เล่น เพลง จาก เพลลิสต์ เพลง ลูก ทุ่ง,เล่น เพลง จาก playlist เพลง ลูก ทุ่ง
M0000000005_0064.wav,เล่น เพลง ของ มารูนไฟฟ์,เล่น เพลง ของ Maroon 5
M0000000005_0065.wav,เล่น เพลง ของ ซูเปอร์จูเนียร์,เล่น เพลง ของ Super Junior
M0000000005_0066.wav,เล่น เพลง ของ ศิลปิน ริฮันน่า,เล่น เพลง ของ ศิลปิน Rihanna
M0000000005_0068.wav,เล่น เพลง ของ ศิลปิน โจอี้บอย,เล่น เพลง ของ ศิลปิน Joey Boy
M0000000005_0069.wav,เล่น เพลง จาก อัลบั้ม เดอะเรด,เล่น เพลง จาก album The Red
M0000000005_0070.wav,เล่น เพลง จาก อัลบั้ม เดอะเววเวท,เล่น เพลง จาก album The Velvet
M0000000005_0071.wav,โกวาจี แรนด้อม เพลง,โกวาจี random เพลง
M0000000005_0072.wav,โกวาจี เล่น ห้า เพลง,โกวาจี เล่น ห้า เพลง
M0000000005_0073.wav,โกวาจี เล่น สิบ เพลง,โกวาจี เล่น สิบ เพลง
M0000000005_0077.wav,โกวาจี ลา ก่อน,โกวาจี ลา ก่อน
M0000000005_0079.wav,ชัฟเฟิล,shuffle
M0000000005_0081.wav,กู๊ดไนท์,Good night
M0000000005_0082.wav,ลบ เพลง นี้ ออก จาก เพลย์ลิส,ลบ เพลง นี้ ออก จาก playlist
M0000000005_0083.wav,เอา ออก จาก เพลย์ลิส,เอา ออก จาก playlist
M0000000005_0087.wav,ห้าม เล่น เพลง ของ เทเลอร์สวิฟ,ห้าม เล่น เพลง ของ Taylor Swift
M0000000005_0093.wav,โกวาจี เรา จบ กัน แค่ นี้,โกวาจี เรา จบ กัน แค่ นี้
M0000000005_0099.wav,โกวาจี ขอบคุณ,โกวาจี ขอบคุณ
M0000000090_0000.wav,โกวาจี,โกวาจี
M0000000090_0001.wav,โกวาจี เดิน หน้า,โกวาจี เดิน หน้า
M0000000090_0029.wav,ชาร์จ ธนู,Charge ธนู
M0000000090_0034.wav,สร้าง เกม,สร้าง game
M0000000090_0035.wav,หยุด เกม,หยุด game
M0000000090_0036.wav,เล่น เกม ต่อ,เล่น game ต่อ
M0000000090_0054.wav,วิง การ์เดียม เล วิ โอ ซ่า,Wingardium Leviosa
M0000000090_0063.wav,แปลง ร่าง เป็น เดอะ แฟลช,แปลง ร่าง เป็น The Flash
M0000000090_0095.wav,เปิด โต๊ะ คราฟ,เปิด โต๊ะ craft
M0000000090_0096.wav,ปิด โต๊ะ คราฟ,ปิด โต๊ะ craft
M0000000090_0097.wav,คราฟ,craft
M0000000090_0098.wav,คราฟ เลย,craft เลย
M0000000090_0099.wav,วาร์ป ไป ไหน ก็ ได้,warp ไป ไหน ก็ ได้
M0000000090_0100.wav,ทำไม เรา ยัง ไม่ วาร์ป,ทำไม เรา ยัง ไม่ warp
M0000000090_0101.wav,วาร์ป ไป ข้าง หน้า,Warp ไป ข้าง หน้า
M0000000090_0102.wav,วาร์ป ไป ข้าง หลัง,warp ไป ข้าง หลัง
M0000000090_0103.wav,วาร์ป ไป ทาง ซ้าย,warp ไป ทาง ซ้าย
M0000000090_0104.wav,วาร์ป ไป ทาง ขวา,warp ไป ทาง ขวา
M0000000090_0106.wav,รีเซท,reset
M0000000104_0000.wav,โกวาจี,โกวาจี
M0000000104_0001.wav,โกวาจี เดิน หน้า,โกวาจี เดิน หน้า
M0000000104_0029.wav,ชาร์จ ธนู,Charge ธนู
M0000000104_0034.wav,สร้าง เกม,สร้าง game
M0000000104_0035.wav,หยุด เกม,หยุด game
M0000000104_0036.wav,เล่น เกม ต่อ,เล่น game ต่อ
M0000000104_0054.wav,วิง การ์เดียม เล วิ โอ ซ่า,Wingardium Leviosa
M0000000104_0063.wav,แปลง ร่าง เป็น เดอะ แฟลช,แปลง ร่าง เป็น The Flash
M0000000104_0095.wav,เปิด โต๊ะ คราฟ,เปิด โต๊ะ craft
M0000000104_0096.wav,ปิด โต๊ะ คราฟ,ปิด โต๊ะ craft
M0000000104_0097.wav,คราฟ,craft
M0000000104_0098.wav,คราฟ เลย,craft เลย
M0000000104_0099.wav,วาร์ป ไป ไหน ก็ ได้,warp ไป ไหน ก็ ได้
M0000000104_0100.wav,ทำไม เรา ยัง ไม่ วาร์ป,ทำไม เรา ยัง ไม่ warp
M0000000104_0101.wav,วาร์ป ไป ข้าง หน้า,Warp ไป ข้าง หน้า
